NOC,Year,Sport,Bronze,Gold,Silver,Total
AFG,2008,Taekwondo,1.0,0.0,0.0,1.0
AFG,2012,Taekwondo,1.0,0.0,0.0,1.0
AIN,2024,Rowing,0.0,0.0,1.0,1.0
AIN,2024,Tennis,0.0,0.0,2.0,2.0
AIN,2024,Trampoline Gymnastics,0.0,1.0,1.0,2.0
AIN,2024,Weightlifting,1.0,0.0,0.0,1.0
ALB,2024,Wrestling,2.0,0.0,0.0,2.0
ALG,1992,Athletics,0.0,1.0,0.0,1.0
ALG,1992,Boxing,1.0,0.0,0.0,1.0
ALG,1996,Athletics,0.0,1.0,0.0,1.0
ALG,1996,Boxing,1.0,1.0,0.0,2.0
ALG,2000,Athletics,2.0,1.0,1.0,4.0
ALG,2000,Boxing,1.0,0.0,0.0,1.0
ALG,2008,Judo,1.0,0.0,1.0,2.0
ALG,2012,Athletics,0.0,1.0,0.0,1.0
ALG,2016,Athletics,0.0,0.0,2.0,2.0
ALG,2024,Artistic Gymnastics,0.0,1.0,0.0,1.0
ALG,2024,Athletics,1.0,0.0,0.0,1.0
ALG,2024,Boxing,0.0,1.0,0.0,1.0
ARG,1992,Tennis,2.0,0.0,0.0,2.0
ARG,1996,Boxing,1.0,0.0,0.0,1.0
ARG,1996,Football,0.0,0.0,18.0,18.0
ARG,1996,Sailing,0.0,0.0,1.0,1.0
ARG,2000,Hockey,0.0,0.0,16.0,16.0
ARG,2000,Sailing,3.0,0.0,1.0,4.0
ARG,2004,Basketball,0.0,12.0,0.0,12.0
ARG,2004,Football,0.0,16.0,0.0,16.0
ARG,2004,Hockey,16.0,0.0,0.0,16.0
ARG,2004,Sailing,2.0,0.0,0.0,2.0
ARG,2004,Swimming,1.0,0.0,0.0,1.0
ARG,2004,Tennis,2.0,0.0,0.0,2.0
ARG,2008,Basketball,12.0,0.0,0.0,12.0
ARG,2008,Cycling,0.0,2.0,0.0,2.0
ARG,2008,Football,0.0,18.0,0.0,18.0
ARG,2008,Hockey,16.0,0.0,0.0,16.0
ARG,2008,Judo,1.0,0.0,0.0,1.0
ARG,2008,Sailing,2.0,0.0,0.0,2.0
ARG,2012,Hockey,0.0,0.0,15.0,15.0
